Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
232;2003/12/22 12:00:000;108,79;110,08;108,78;109,7;17179100;0,8329948848193269;3891,67;3913,26;3870,56;3903,34;0;0,2994225464453899
233;2003/12/29 12:00:000;110,1;112,19;109,78;111,23;27904300;1,0211085875303734;3907,57;4022,96;3907,57;4018,5;0;2,799300125016549
234;2004/01/05 12:00:000;111,69;113,5;111,59;112,39;33825100;0,6247788977440618;4019,94;4073,33;3982,83;4016,18;0;-0,09357750442697259
235;2004/01/12 12:00:000;112,55;114,31;111,76;114,23;37249600;1,4816392393114453;4010,05;4122,93;3980,19;4111,64;0;2,501826561345325
238;2004/01/26 12:00:000;114,39;116,5;112,56;113,48;41901200;-0,7987052596931483;4152,09;4175,48;4048,52;4058,6;0;-2,2773735368506633
239;2004/02/02 12:00:000;113,7;114,7;112,78;114,45;35540200;0,6574645642085385;4062,79;4087,21;4007,87;4044,99;0;-0,43908514039672664
240;2004/02/09 12:00:000;114,67;116,39;114,17;115,13;33655900;0,40034866353600657;4051,36;4150,56;4047,92;4057,05;0;0,14034813074313096
243;2004/02/23 12:00:000;115,22;115,74;113,03;115,02;36103700;-0,17373180186290002;4074,11;4106,08;3960,41;4018,16;0;-1,3828231524738706
244;2004/03/01 12:00:000;115,43;116,97;114,92;116,38;35999800;0,8196413601702998;4026,19;4151,84;4026,19;4126,14;0;2,452182589366457
245;2004/03/08 12:00:000;116,34;116,62;111,1;112,58;57969300;-3,285285844673492;4131,34;4163,19;3824,54;3915,38;0;-5,368942224222456
246;2004/03/15 12:00:000;112,27;113,27;110,84;111,06;53553500;-1,083608865722695;3908,61;3909,87;3775,11;3819,15;0;-2,315392730162828
247;2004/03/22 12:00:000;110,54;111,79;108,85;111,03;51139900;0,44229886610574076;3802,53;3849,99;3692,4;3822,33;0;0,5193549653465266
